编号,有机质,全氮,碱解氮,全磷,速效磷,缓效钾,速效钾,产量,CK
ID,organic,totalN,availN,totalP,availP,availK,availK2,yield,yieldCK
2-01,15.8,1,118,0.4,2,280,104,4413,1306.5
2-02,11.6,0.82,92,0.27,1,277,102,5508,1200
2-03,16.1,1.08,124,0.42,17,418,245,7102.5,4740
2-04,6.8,0.56,61,0.2,4,319,165,3678,1635
2-06,16.3,0.98,98,0.31,16,691,313,8431.5,5013
2-07,10.7,0.69,88,0.26,9,259,76,3786,985.5
2-08,12.2,0.78,93,0.28,26,403,174,5928,2520
2-09,14.8,0.94,93,0.36,5,256,68,5553,2143.5
2-10,13.4,0.85,94,0.21,4,364,160,4044,31641
2-11,13.1,0.78,87,0.25,11,444,244,5376,2364
2-12,12.2,0.75,74,0.3,20,194,59,6115.5,1893
2-14,13.3,0.77,79,0.23,2,378,202,3873,1165
2-15,18.9,1.16,97,0.45,23,414,190,6741,3858
2-17,13.9,0.96,131,0.38,19,651,316,6940.5,3909
2-18,17.9,1.09,123,0.28,4,287,141,5944.5,2137.5
2-19,8.6,0.57,73,0.35,13,243,96,4524,2950.5
3-01,19.8,1.17,151,0.28,2,235,101,4770,386
3-02,15.9,0.87,135,0.35,18,560,255,6850.5,3985.5
3-03,27.2,1.56,177,0.34,5,359,126,4902,1068
3-04,20.1,1.16,191,0.33,13,306,75,5002.5,910.5
3-05,11.5,0.7,120,0.28,26,348,198,4239,502.5
3-06,11.8,0.76,156,0.28,22,248,80,4026,958.5
3-07,23.7,1.31,131,0.4,47,412,143,5656.5,3564
3-08,13.4,0.75,96,0.22,1,202,57,4327.5,2737.5
3-09,23.2,1.37,166,0.4,10,373,146,476.1,1300.5
3-10,19.4,1.08,119,0.36,6,210,40,4223,2787
3-11,16.1,0.92,126,0.32,10,270,84,5775,3928.5
3-12,13,0.76,96,0.34,5,280,139,3805.5,1815
3-13,13.1,0.98,330,0.28,19,331,168,6309,3196.5
3-15,19,1.15,128,0.3,2,293,82,3661.5,1221
3-16,6.6,0.4,59,0.14,8,123,34,5999.5,1573.5
3-17,12.6,0.77,155,0.33,42,380,204,4026,1405.5
3-18,17.1,0.98,130,0.35,7,320,144,5250,2775
3-19,8.3,0.63,77,0.27,5,368,57,4770,3567
3-20,11.6,0.66,139,0.27,7,295,68,5773.5,3756
3-21,15.1,0.93,166,0.3,19,220,72,3330,1993.5
3-22,9.7,0.5,71,0.32,5,155,59,5826,1528.5
3-23,9.1,0.51,70,0.33,20,124,51,4563,1546.5
